name,address,brand,gasoline,diesel,self,wash,charging,center,store,night,gu,lat,lng
구도일주유소특종,서울 종로구 평창문화로 90 (평창동),S-OIL,"1,830","1,690",N,Y,N,N,N,N,종로구,37.6066898,126.9710988
약수주유소,서울 중구 다산로 173,SK에너지,"1,698","1,579",Y,Y,N,Y,N,Y,중구,37.5590258,127.0126614
장충드림주유소,서울 중구 동호로 296,S-OIL,"1,735","1,595",Y,Y,N,N,N,N,중구,37.5608503,127.0034182
세화주유소,서울 중구 왕십리로 403,알뜰주유소,"1,738","1,598",N,Y,N,Y,N,Y,중구,37.5647309,127.0255275
신당동주유소,서울 중구 다산로 242 (신당동),SK에너지,"2,098","1,998",N,Y,N,N,N,Y,중구,37.5646022,127.01641
장충주유소,서울 중구 장충단로 202 (장충동1가),SK에너지,"2,098","1,988",N,Y,N,N,N,Y,중구,37.5609763,127.0075809
필동주유소,서울 중구 퇴계로 196,GS칼텍스,"2,469","2,359",N,N,N,N,N,Y,중구,37.56091199999999,126.9937135
서남주유소,서울 중구 통일로 30,SK에너지,"2,663","2,579",N,Y,N,N,N,Y,중구,37.5583749,126.9720939
대양주유소,서울 중랑구 봉우재로 105 (상봉동),GS칼텍스,"1,577","1,430",Y,Y,N,N,N,N,중랑구,37.5925921,127.0848788
면목SELF주유소,서울 중랑구 동일로 627 (면목동),SK에너지,"1,577","1,417",Y,Y,N,Y,N,N,중랑구,37.5863498,127.0795885
대원주유소,서울 중랑구 동일로 600,GS칼텍스,"1,577","1,417",Y,Y,N,N,N,N,중랑구,37.5840333,127.0801082
우림주유소,서울 중랑구 용마산로 487 (망우제3동),GS칼텍스,"1,577","1,414",Y,Y,N,N,N,N,중랑구,37.5923318,127.0991054
오천만주유소,서울 중랑구 동일로 547 (면목동),S-OIL,"1,597","1,417",Y,Y,N,N,N,N,중랑구,37.5791224,127.0793311
